embb_rate,embb_users,embb_req,urllc_rate,urllc_users,urllc_req,miot_rate,miot_users,miot_req,mmtc_rate,mmtc_users,mmtc_req,voice_rate,voice_users,voice_req
10173334845,117,21480926851,152124771,28,162578351,90202738,44,144192707,112340059,43,142419303,86558173,94,276797707
12183883944,148,27827749735,120567591,28,137078113,108602067,51,167489505,146419857,55,205608192,95200452,103,355894823
12809627292,152,28398618656,143278038,35,165704196,115574658,63,204666367,145805627,65,210972849,103569438,113,401297794
13786530683,166,31779879950,87801222,27,100030550,117903819,72,248790203,141118812,69,230325001,108713227,115,415013917
10855717074,131,23314244174,130285759,28,141658630,116957235,65,204733883,128844056,57,167590582,100687630,110,344326834
12532373849,149,28814329930,162912841,36,175626497,113167269,63,217503094,142357723,59,198385533,101433604,110,336903180
14857546425,172,34065990114,141475908,36,174765232,119965603,84,273948073,154816935,71,225612897,106350035,115,386469521
13399824421,156,28870281410,63306591,26,65521049,120896758,76,216397637,132895672,52,172279536,106063015,113,374709094
11041512253,142,23007244509,125798752,22,129183187,96007015,56,153578021,102173748,36,111037538,92988949,105,303890556
9793981008,119,23272456940,121520651,22,130322486,85971009,46,130464887,65529984,21,67683821,80537298,86,256498228
9498125426,112,21544075917,123575046,30,142023744,100375674,42,160092634,126234571,31,137410719,88820058,99,305580143
10516623408,122,23343999890,58821533,19,59249135,101145268,53,177442147,129445808,53,187348866,82726675,89,305707248
8774451963,106,17723195021,114170922,20,116149603,89268134,39,119605607,82356836,33,89567430,79529876,86,299220633
11150877875,138,26373772683,120848885,22,130834567,100840782,49,206614306,127486086,48,205677801,88477117,96,343157768
10109377259,116,22876577337,75279276,17,75279276,117037265,51,193071286,125334110,52,151561225,91467867,97,343091403
9276866949,108,20945171872,159934319,26,170890385,92061101,45,118486087,78322297,34,88252587,88999514,93,308538693
11252857609,132,23781898919,101612773,30,117655857,85346781,42,139074088,140946483,54,204890450,93662736,99,329624571
11504864210,144,24782179567,73017297,23,83447758,112231778,57,177868218,145014797,64,227076994,93561019,102,315613933
10086233171,121,22163201935,120643370,24,127252502,90129221,61,159502666,114421058,55,153509044,81670859,93,274858746
10860245785,127,25596871736,160277445,32,182909526,106352460,54,192934322,119792216,45,154004675,78936086,86,299054933
14168541993,162,33285671331,75610361,25,81986198,120471552,70,240020770,145208819,57,232121917,101790783,105,423152183
13071425022,154,28732389346,160638040,33,185615484,114837896,68,182137384,156141952,62,215965576,103207137,109,391876067
13978026631,168,31982111857,133647290,35,152579391,112320855,75,207630403,151558562,69,228684184,113224421,120,417300384
13247786771,159,29239029173,150484458,37,176458988,104316538,67,206172024,147015366,64,227660636,115816209,125,392825361
13999529052,167,30613108173,116297061,35,141034935,128175360,70,243089048,148968492,68,223961932,106294739,118,352662320
13376944774,163,27712365431,110581290,30,125486755,120706146,77,246268052,147809471,68,221161081,103382279,114,358359592
11550113271,147,25220478311,111594739,27,120360476,106923425,62,189326861,123452972,54,153287064,98419617,107,361154979
10736500681,124,25184767229,91063646,19,94144935,105810998,57,200442916,105528588,43,130739448,99436569,107,351644219
9504024998,114,19281769929,135867898,24,138951799,101569889,53,168369474,120104586,38,144515571,94564734,101,336361389
10803229759,132,23621085086,119456062,23,125733164,105400694,52,168966796,142575128,52,210685958,92251344,103,345797090
11400374051,142,24729778650,77728647,18,79993549,95533159,47,146954954,129443522,56,184634595,96187890,103,370125014
8758610508,115,19023250722,131507972,22,136802842,88896815,34,107261265,103290628,46,133241804,92600482,97,342140599
12288390244,144,30421199262,163315742,32,182794853,106975457,53,208891709,137491181,57,226799914,107542769,115,420968931
13525270439,160,32024574364,25637968,18,25637968,127207839,80,301983713,160079158,71,261914872,111852569,118,411249090
11424401906,135,24839092102,167065909,28,177880542,129933409,74,225990707,114159202,55,133972556,99836088,108,349879880
16151799231,182,38465441794,169628611,36,196331177,112840051,80,236472006,146976969,63,245228650,116054192,123,447781231
13543504013,171,31667427614,140077208,39,165578461,122683926,70,208805633,173293749,69,261673891,111590585,122,402925734
13346521600,157,29817943312,135140216,39,160626189,119435798,73,245929580,155652090,75,244492056,107123756,117,393076607
13399122099,163,28340898647,88576532,29,101575043,118759683,66,215590943,124097044,56,169032526,101639122,109,369959347
12138309239,143,24734744773,125774294,27,133492969,99264833,63,157399715,114150888,44,137557886,96212809,107,346677040
8946801323,109,17510585683,93890117,20,102746251,97681480,48,148021188,75474877,32,84474489,90714057,98,306765185
9626883166,122,22132464679,151117190,31,174094179,102313879,48,163241056,124942635,38,168120628,87790429,97,307811529
14299556474,164,34491550531,54008391,24,63427104,115639873,79,289469852,163085675,79,291895245,105865305,115,426224458
13591274137,162,28991943635,122385992,23,134306806,126840947,68,220018008,150199520,73,208861636,100160106,106,379308480
12256691605,148,25477675748,184581160,36,206007084,114314004,66,203786133,113184921,54,160281755,97934879,105,352118666
12877032750,154,27670188480,53107881,25,55715100,105858057,66,199454667,136929445,52,206282311,102924603,113,369711506
10509094676,132,22798565306,153576252,29,173981964,117137949,59,204861179,143698705,59,185427091,99442652,112,366909122
11178309795,133,23294695535,85863209,26,88069085,111202950,67,238810289,126442037,57,187350126,95629983,101,346272739
9629719885,121,17809994146,88568761,18,88568761,96124174,55,157900990,101187205,33,110967073,91039994,100,293314159
6595028790,89,12740115580,140807384,22,141236489,94143389,44,129276210,114867483,27,128195193,78617614,87,244474125
10953679799,129,25408356032,139583621,25,160149330,104595379,61,224937605,144357526,54,201313415,90359553,97,366598223
12799701586,146,29951509156,129964024,31,138154019,120467423,72,236798281,151287359,65,218692649,106439772,113,445884282
12199550151,145,27183869570,79486290,21,87008730,107690588,66,188878715,119674989,61,153780851,106803110,113,414265037
9883267477,120,18901589600,139915843,25,146051793,88594850,43,110147335,97201375,36,108629638,96982931,104,349095582
9478874402,119,17785398845,132370796,28,144718754,93279458,48,170675661,113735560,34,139363409,98572835,106,349427190
12459483997,146,28979737847,69354162,23,75076321,111173145,67,250241180,153595103,65,266288605,109305822,114,387632215
10542873354,129,23176166131,178947843,36,208137240,121410119,71,210238427,151842280,64,221139408,99653962,108,342914726
12742681502,144,29076263164,75389469,24,83590654,104962087,66,188184554,144449451,62,202881204,93716652,103,318221633
11085908702,131,22735675580,165588799,31,183564480,96579975,54,174633354,112435858,49,146028876,85795576,95,298419527
11307064486,140,26182799138,66198233,17,66327940,109229608,54,187381078,117613867,47,162951781,95425952,103,375512158
9483995345,109,20457428011,149906402,26,161069670,96138057,48,128254646,114805869,39,142739352,87379690,95,311551550
12911720737,162,30320889571,87747785,18,91309413,103924686,57,203164421,142112028,59,227329372,110452650,116,429866445
10951981391,132,23586955593,146105365,29,159900143,114005012,53,175787652,123607901,55,148451915,100380807,110,360752110
12316428828,145,28705645692,143800255,33,163596185,116618310,65,233866964,153041082,66,245054395,100090534,111,372505479
14435090439,166,31524694722,115420640,31,140535363,119183848,69,223730528,157552946,68,231292431,106779496,112,392204700
11278416138,142,24492429275,96574920,25,101229328,120792720,60,198463482,125349467,55,169148183,105928180,116,382530723
11014983373,129,24769082701,166127529,33,185367870,91153985,48,135502492,137855437,48,189817810,97392749,106,350760824
12360879004,147,26271824203,80476690,23,88587742,117206595,57,219525707,153634109,64,233407428,106909718,116,388443556
11186217666,140,25230132532,163587586,35,187090027,113608649,62,189960638,135210717,61,171497151,99920393,109,362520498
14864647458,176,33932945872,126236825,37,144345566,118372153,74,257628322,147349556,71,252324620,114307157,121,426237850
13892873016,165,30209420591,110102170,35,136588245,122303724,77,241842540,154460925,68,230040916,103144226,113,396763056
12372366797,150,25810620214,113512022,31,125970929,120948318,73,204487995,139451570,65,202436578,108689860,114,407573222
11527195873,138,25652615969,114887761,27,125270319,95589665,58,163131921,117567870,46,143376738,106661589,116,380368237
10945260768,135,23198718870,105650858,23,112143859,101790553,52,163590308,124662937,47,158604066,92143660,105,305403388
9350566252,121,20405164656,155857020,33,178747238,95107402,45,124974787,92686073,33,105602983,89696485,102,325316027
13329118973,163,31059208025,126338968,31,150907445,107235840,74,272386957,165378032,73,295067273,113549442,121,454325691
13567843774,162,30967808735,159560270,40,193779242,128037261,77,259990859,155741404,79,224091040,114236717,120,453222671
13167894509,160,30689908041,115739464,35,141738886,122805554,83,240596258,137763091,67,189321365,116634422,123,463050706
13322169371,155,29114267618,68194988,21,69516677,111917695,66,165842752,120765791,51,171390667,112596862,119,389418209
10579823551,129,20913167968,160973354,31,175498454,83719626,44,113152797,115684126,44,129384655,97483235,108,305424100
11603721956,142,25925056096,66915130,19,72366598,98248136,56,221689772,129901936,50,192168314,96931115,106,317810702
8455736311,106,18747829333,119533563,20,119533563,105495144,52,162929322,101308058,43,113563282,84089395,96,271466737
8526856623,102,17622507158,126865390,21,134129522,80127548,40,105130824,51717035,19,54230337,75637609,86,265533930
12054932544,141,28101562543,93091582,20,99140443,93095577,51,211175379,144662057,55,251998058,89522574,97,369240737
9181927404,110,19710052368,69519150,18,69519150,111122629,49,150816913,119729205,44,128531323,88486718,93,328224236
7428282141,92,15409444633,112948621,18,115251542,48513741,31,51661037,38862943,20,40359689,78806295,85,262937158
6898341551,85,14497317620,114168277,23,123371360,68868496,22,92898277,53364988,14,53364988,78273126,84,255784642
11404264320,133,27197698621,43759674,16,46041338,99061259,64,251722383,134191309,50,213264957,95172759,107,358643751
8587418973,99,17268926758,86001449,15,86001449,109990281,60,177524995,80889613,33,81831240,79576396,91,271183895
