embb_rate,embb_users,embb_req,urllc_rate,urllc_users,urllc_req,miot_rate,miot_users,miot_req,mmtc_rate,mmtc_users,mmtc_req,voice_rate,voice_users,voice_req
3592731880,40,8672209336,256760623,40,256760623,104480953,22,104480953,96860452,22,96860452,24000000,24,141510690
10063008550,142,33716868947,368633237,56,368633237,233225528,54,233225528,287220123,61,287220123,107000000,107,616211069
9834685254,129,26571705568,102249900,16,102249900,26733439,8,26733439,46939620,10,46939620,107000000,107,510591989
9395775883,109,19730129954,128897178,20,128897178,57968988,14,57968988,59467330,14,59467330,108000000,108,410901186
7420415229,87,12967096527,105883495,17,105883495,76110610,15,76110610,78852983,24,78852983,106599752,109,307465642
7464393100,95,14158594734,290869912,45,290869912,174066804,41,174066804,138626416,36,138626416,94177795,106,209401146
5569449935,74,11044367189,164592122,25,164592122,85273838,17,85273838,136182883,29,136182883,65812134,82,122094738
4132485340,50,8837718112,75591599,12,75591599,49914477,13,49914477,35964790,10,35964790,42861658,58,104124910
10119036800,132,31040489952,490233405,76,490233405,264541761,62,264541761,306028032,71,306028032,68034046,76,348064141
9437224262,110,21446172108,11722365,2,11722365,10233604,2,10233604,1748402,1,1748402,63788104,64,312669791
9488006851,121,23908047780,537565522,83,537565522,291961356,64,291961356,355995186,75,355995186,98727409,100,475549917
8405448209,103,16405680711,22485884,4,22485884,32661513,6,32661513,13056666,2,13056666,100605532,102,401753041
7169511517,94,13543736786,259601612,40,259601612,188511123,38,188511123,149776730,34,149776730,99446258,104,330718659
5140382048,67,10655220059,78002504,12,78002504,56751813,16,56751813,49029992,14,49029992,89072080,96,244620892
3660203411,47,7210772223,51763021,8,51763021,18401291,5,18401291,10790624,3,10790624,69711782,84,167865300
9654169437,132,28686871497,549505800,84,549505800,333058779,73,333058779,370000686,82,370000686,71764009,83,251968925
9441141612,117,22716829764,40945183,6,40945183,42449804,7,42449804,6679898,1,6679898,69546859,78,265149265
9109577585,110,18257933494,416281996,63,416281996,207867705,48,207867705,255981381,58,255981381,75256195,85,336304867
9130029379,108,19737970076,136074094,22,136074094,128091093,30,128091093,92008071,21,92008071,89668592,91,396042797
6012755222,76,11744749750,34363298,5,34363298,21137501,4,21137501,49121984,10,49121984,87366958,91,319254401
7732008349,92,18126426992,438441371,67,438441371,232163801,52,232163801,226052334,54,226052334,92243166,96,321341536
8991554160,110,21310133033,110007371,17,110007371,83890831,19,83890831,103494933,22,103494933,85802198,95,275583173
6373293370,77,14457250695,57727882,9,57727882,25977771,6,25977771,23660815,6,23660815,65284757,75,186621829
6073217767,72,12770608238,198966273,31,198966273,87146530,22,87146530,118384624,27,118384624,59409177,67,171519965
5725354729,69,11678290945,54304607,9,54304607,40568612,10,40568612,26861413,7,26861413,55379471,60,179074992
9347460831,111,21181814507,394150061,62,394150061,217637240,54,217637240,261312062,56,261312062,80369040,86,351800648
9421592347,115,21086925128,206099762,32,206099762,128664004,25,128664004,107234447,25,107234447,93209925,96,405893779
6286122537,84,11800612607,7378253,1,7378253,6936724,1,6936724,5322532,2,5322532,87221800,92,324071430
9558420290,121,22844962933,554219765,85,554219765,304244505,67,304244505,355321881,79,355321881,97372945,102,351674561
7236289764,92,14305644736,6192823,1,6192823,14185229,3,14185229,25784245,5,25784245,89347331,95,269810696
5048162438,64,8898491827,68597620,10,68597620,31313499,10,31313499,40349106,9,40349106,72383277,82,180463365
3764484864,47,7494818133,51415134,8,51415134,23789683,5,23789683,81657619,15,81657619,50950364,63,125675475
7516208041,86,18824534687,325144507,49,325144507,211229389,46,211229389,202946557,42,202946557,62768509,72,248023274
7176141870,85,15941589295,70433313,11,70433313,24036958,7,24036958,29928112,6,29928112,58239221,64,230477355
6378517720,77,12695046992,100972281,16,100972281,57553348,14,57553348,82088912,16,82088912,57872907,62,214032279
8347465185,99,17109790970,253602056,38,253602056,174707976,38,174707976,145738589,34,145738589,71541211,74,269569468
8109001340,104,17268200165,251730414,39,251730414,83135846,20,83135846,159236872,35,159236872,87376940,96,376713541
5398403942,66,10019931915,52823036,9,52823036,56934881,13,56934881,56793601,13,56793601,77037727,83,307793961
6234779559,73,14677309631,211457805,32,211457805,111240826,25,111240826,149064284,37,149064284,80952368,82,288639595
9638302216,110,23300836197,266808565,41,266808565,136123079,31,136123079,122149364,26,122149364,88640193,97,335003593
9044526406,114,20714056769,228527170,36,228527170,124743893,28,124743893,150446127,30,150446127,81644802,87,292810300
7185302764,85,14289369655,101133591,15,101133591,63758750,15,63758750,59120695,14,59120695,71718243,79,237997639
