embb_rate,embb_users,embb_req,urllc_rate,urllc_users,urllc_req,miot_rate,miot_users,miot_req,mmtc_rate,mmtc_users,mmtc_req,voice_rate,voice_users,voice_req
9976482282,184,38378105986,275399972,43,275399972,90052948,22,90052948,121282221,22,121282221,135235453,143,571771355
10069743901,228,46942781943,735398359,111,735398359,390957615,85,390957615,381804923,87,381804923,151080865,160,630969739
9751253614,150,23708476097,259228572,40,259228572,128253897,30,128253897,119581405,25,119581405,108558667,124,295375552
9569670992,170,26797015819,372104947,57,372104947,216423502,51,216423502,194733126,44,194733126,98008865,113,308207450
9639488101,186,32062272697,492500767,76,492500767,233392089,46,233392089,247097948,53,247097948,126143276,137,508759405
9511620305,156,28756237630,249369456,38,249369456,94809565,24,94809565,96256436,24,96256436,120447445,130,509203838
9364011897,125,21231376342,47050794,7,47050794,34851210,7,34851210,14760552,5,14760552,107188945,114,408292332
10213645021,197,43008519149,836725732,131,838761678,434112418,93,434112418,392242053,90,392242053,149496245,154,609710947
10095009763,223,45127117045,227674791,47,227674791,87150343,21,87150343,70230687,18,70230687,155314649,164,591757771
10054432031,220,42846679878,776454739,119,776454739,354984405,84,354984405,384863761,87,384863761,146335655,158,516038146
10153135867,202,36710735247,188021524,29,188021524,87828430,17,87828430,61187725,16,61187725,142706728,152,475244522
9806709467,177,29034486320,135323497,22,135323497,57316937,14,57316937,45499415,10,45499415,117500929,135,352303985
9794103859,207,37361458254,785153390,120,785153390,357976515,81,357976515,366559860,89,366559860,124878065,137,464118454
10236664471,208,37017152969,306193895,47,306193895,114415618,25,114415618,93908343,24,93908343,137952727,146,559178130
9830236193,195,31940543828,321215746,50,321215746,170414293,38,170414293,162487157,41,162487157,127154731,143,501902438
9258637278,179,27552681804,342009648,52,342009648,91892925,22,91892925,119984919,26,119984919,125194256,132,468033409
9585298581,166,27593496177,313414829,48,313414829,175043136,38,175043136,221678108,47,221678108,128568246,138,475498512
10026166769,193,35538128919,566894086,88,566894086,238975533,50,238975533,191816914,42,191816914,131812520,144,501421595
10076132159,216,40707556565,520636897,80,520636897,272517560,62,272517560,323010499,72,323010499,143394045,153,562129175
9831097837,184,31332300346,53257256,9,53257256,24711095,6,24711095,7435342,3,7435342,126084116,134,430807569
